ID,risk_flag,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS
75,0,4732134,67,19,married,rented,no,Mechanical engineer,Kharagpur,West Bengal,6,11
76,0,7171033,68,19,married,rented,no,Computer operator,Jalandhar,Punjab,4,10
77,0,350406,40,13,single,norent_noown,no,Technical writer,"Khora, Ghaziabad",Uttar Pradesh,8,13
78,0,9984878,51,18,single,rented,yes,Comedian,Jammu[16],Jammu and Kashmir,8,12
79,0,3611839,55,20,single,rented,no,Civil servant,Aurangabad[39],Bihar,10,12
80,0,8998014,72,13,single,rented,yes,Politician,Pondicherry,Puducherry,9,11
81,0,2024213,38,19,single,rented,no,Comedian,Durg,Chhattisgarh,8,14
82,0,6368882,46,7,single,rented,no,Analyst,Chittoor[28],Andhra Pradesh,3,10
83,0,5867006,21,3,single,rented,no,Technology specialist,Miryalaguda,Telangana,3,11
84,0,7872490,27,0,single,owned,yes,Web designer,Avadi,Tamil Nadu,0,10
85,0,4618837,24,5,single,rented,no,Physician,Chennai,Tamil Nadu,5,12
86,1,4902965,32,7,married,rented,no,Comedian,Nagercoil,Tamil Nadu,7,11
87,1,7413713,71,5,single,rented,yes,Librarian,Tirunelveli,Tamil Nadu,5,13
88,0,30515,73,12,single,rented,no,Physician,Gandhidham,Gujarat,3,11
89,0,3171323,21,17,single,rented,no,Industrial Engineer,Shimla,Himachal Pradesh,5,12
90,0,1013313,32,16,single,rented,no,Geologist,Bulandshahr,Uttar Pradesh,10,12
91,0,7805855,44,10,single,rented,yes,Industrial Engineer,Eluru[25],Andhra Pradesh,10,14
92,0,7298829,59,16,single,rented,no,Politician,Bharatpur,Rajasthan,3,13
93,0,3369187,59,3,single,rented,yes,Surgeon,Tirunelveli,Tamil Nadu,3,14
94,0,8301578,59,3,single,rented,no,Artist,Bally,West Bengal,3,11
95,0,1169819,72,18,single,rented,yes,Computer operator,Vadodara,Gujarat,11,10
96,0,5535441,66,0,single,rented,no,Drafter,Nashik,Maharashtra,0,13
97,0,9249971,69,4,single,rented,no,Physician,Pali,Rajasthan,4,14
98,1,486603,33,20,single,rented,no,Librarian,Bharatpur,Rajasthan,5,13
99,0,7505485,27,17,single,rented,yes,Politician,Erode[17],Tamil Nadu,12,12
100,1,4946039,60,0,single,rented,no,Financial Analyst,Kolkata,West Bengal,0,10
101,0,5620082,58,14,single,rented,no,Politician,Akola,Maharashtra,9,11
102,1,9120988,28,9,single,rented,no,Physician,Erode[17],Tamil Nadu,9,12
103,1,5829652,25,7,single,owned,no,Biomedical Engineer,Chandigarh_city,Chandigarh,7,11
104,0,8141031,23,17,single,rented,no,Secretary,Vijayanagaram,Andhra Pradesh,3,11
105,0,9758182,33,9,single,rented,no,Civil engineer,Chennai,Tamil Nadu,7,11
106,0,7053325,31,8,single,rented,no,Mechanical engineer,Mau,Uttar Pradesh,8,11
107,0,5090745,35,5,married,rented,no,Chartered Accountant,Aizawl,Mizoram,5,12
108,0,6044767,60,12,single,rented,yes,Engineer,Coimbatore,Tamil Nadu,10,13
109,0,1161306,32,5,single,rented,no,Psychologist,Chittoor[28],Andhra Pradesh,5,10
110,0,9086933,55,7,single,rented,no,Air traffic controller,Saharanpur,Uttar Pradesh,7,13
111,0,3052236,70,0,single,rented,yes,Scientist,Jehanabad[38],Bihar,0,10
112,0,2116651,55,18,single,rented,yes,Graphic Designer,Suryapet,Telangana,12,14
113,0,7919486,36,12,single,rented,no,Surgeon,Thoothukudi,Tamil Nadu,8,12
114,0,8773158,58,18,single,rented,yes,Firefighter,Serampore,West Bengal,5,13
115,0,2451457,31,9,married,rented,no,Politician,Bulandshahr,Uttar Pradesh,9,12
116,0,9482759,67,19,single,rented,no,Psychologist,Kulti,West Bengal,12,12
117,1,8797493,55,15,single,rented,no,Technology specialist,Coimbatore,Tamil Nadu,12,13
118,0,4330847,67,2,single,rented,no,Technician,Sambhal,Uttar Pradesh,2,14
119,0,6467283,65,13,single,rented,yes,Architect,Morena,Madhya Pradesh,11,12
120,0,1859505,60,7,single,rented,no,Design Engineer,Sambalpur,Odisha,7,11
121,0,1295939,43,6,single,rented,yes,Drafter,Alwar,Rajasthan,6,14
122,0,8565626,23,8,single,rented,no,Design Engineer,Chandrapur,Maharashtra,6,11
123,0,7982817,60,6,single,rented,yes,Psychologist,Bhiwani,Haryana,5,14
124,0,3318035,55,4,single,rented,yes,Drafter,Vijayanagaram,Andhra Pradesh,4,13
125,0,4089728,22,18,single,rented,no,Scientist,Bulandshahr,Uttar Pradesh,8,14
126,0,7278093,77,17,single,rented,no,Chemical engineer,Sirsa,Haryana,10,14
127,0,8639080,67,14,single,rented,no,Drafter,Tenali,Andhra Pradesh,7,14
128,0,7479878,55,8,married,rented,no,Analyst,Allahabad,Uttar Pradesh[5],8,14
129,0,1796846,45,16,single,rented,yes,Software Developer,Bidar,Karnataka,9,14
130,1,6820376,31,20,single,rented,no,Financial Analyst,Kalyan-Dombivli,Maharashtra,10,10
131,0,7213058,50,12,single,rented,no,Army officer,Amravati,Maharashtra,4,12
132,0,4560641,72,7,single,rented,no,Scientist,Pudukkottai,Tamil Nadu,7,13
133,0,8806392,61,5,married,rented,no,Software Developer,Giridih,Jharkhand,5,13
134,0,2366869,27,7,married,norent_noown,yes,Air traffic controller,Madanapalle,Andhra Pradesh,7,10
135,0,7591621,41,6,single,owned,no,Artist,Jaunpur,Uttar Pradesh,3,14
136,0,1379217,23,4,single,rented,no,Civil servant,Jamalpur[36],Bihar,4,14
137,0,8692332,61,3,single,rented,no,Civil engineer,Warangal[11][12],Telangana,3,13
138,0,5830306,68,16,married,rented,no,Analyst,Visakhapatnam[4],Andhra Pradesh,7,10
139,0,6720927,64,17,single,rented,no,Web designer,Berhampur,Odisha,5,12
140,1,1696344,31,18,single,rented,no,Librarian,Amritsar,Punjab,13,10
141,0,7714522,37,0,single,rented,yes,Surgeon,Satna,Madhya Pradesh,0,10
142,0,3711307,22,20,single,rented,yes,Economist,Ozhukarai,Puducherry,10,12
143,0,4560641,72,7,single,rented,no,Scientist,Pudukkottai,Tamil Nadu,7,13
144,0,6466990,37,13,single,rented,no,Technical writer,Chittoor[28],Andhra Pradesh,6,14
145,0,9791368,76,15,single,rented,yes,Secretary,Shivpuri,Madhya Pradesh,3,11
146,0,6448514,30,6,single,rented,no,Magistrate,Bihar Sharif,Bihar,6,10
147,0,362328,25,14,single,rented,no,Design Engineer,Raebareli,Uttar Pradesh,8,12
148,0,6940796,46,17,single,rented,no,Analyst,Bhiwandi,Maharashtra,9,11
149,0,1852247,64,9,single,rented,yes,Aviator,Shivpuri,Madhya Pradesh,8,14
150,0,6816106,31,20,single,rented,yes,Statistician,Adoni,Andhra Pradesh,11,14
151,0,9131685,72,13,single,norent_noown,no,Computer hardware engineer,Rajkot,Gujarat,13,10
152,0,9508412,36,0,single,rented,no,Comedian,Kadapa[23],Andhra Pradesh,0,10
153,0,9627539,56,2,single,rented,yes,Designer,Varanasi,Uttar Pradesh,2,13
154,0,4660756,78,0,single,rented,yes,Physician,Meerut,Uttar Pradesh,0,12
155,0,3763002,27,2,single,rented,yes,Computer hardware engineer,Salem,Tamil Nadu,2,10
156,0,3318035,55,4,single,rented,yes,Drafter,Vijayanagaram,Andhra Pradesh,4,13
157,1,2907457,55,18,single,rented,no,Hotel Manager,Medininagar,Jharkhand,10,14
158,0,2632398,65,2,single,rented,no,Microbiologist,Thane,Maharashtra,2,14
159,0,3714943,36,12,single,rented,no,Aviator,Madurai,Tamil Nadu,8,12
160,0,3304937,63,19,single,rented,yes,Fashion Designer,Ghaziabad,Uttar Pradesh,14,13
161,0,2570723,45,15,single,rented,no,Mechanical engineer,Anand,Gujarat,6,12
162,0,7058393,68,11,single,rented,no,Industrial Engineer,Panipat,Haryana,11,11
163,0,9967854,33,9,single,rented,no,Consultant,Jalna,Maharashtra,5,13
164,0,2824175,54,0,single,rented,no,Chef,Serampore,West Bengal,0,10
165,0,233888,64,1,single,rented,no,Psychologist,Tumkur,Karnataka,1,10
166,0,354766,78,0,single,rented,no,Computer hardware engineer,Saharanpur,Uttar Pradesh,0,10
167,0,1259577,66,15,single,rented,no,Economist,Machilipatnam,Andhra Pradesh,3,10
168,0,1716587,37,0,single,rented,no,Economist,Chandigarh_city,Chandigarh,0,11
169,1,8442438,23,17,single,norent_noown,no,Mechanical engineer,Hindupur,Andhra Pradesh,3,14
170,0,6947233,62,10,single,rented,no,Technical writer,Bidar,Karnataka,10,12
171,1,267827,28,10,single,rented,yes,Biomedical Engineer,Kumbakonam,Tamil Nadu,3,10
172,0,448021,54,11,single,rented,no,Flight attendant,Solapur,Maharashtra,11,14
173,0,4658830,45,11,single,rented,yes,Computer hardware engineer,Amroha,Uttar Pradesh,8,10
174,1,7515439,74,6,single,rented,no,Politician,Davanagere,Karnataka,6,11
175,0,1705824,27,15,single,owned,no,Graphic Designer,Anantapuram[24],Andhra Pradesh,13,10
176,0,9103667,54,3,married,owned,no,Software Developer,Howrah,West Bengal,3,12
177,0,5602315,50,12,single,rented,no,Economist,Miryalaguda,Telangana,11,14
178,0,9259060,54,16,single,rented,yes,Surveyor,Sirsa,Haryana,10,14
179,0,8398435,50,9,single,norent_noown,yes,Economist,Vijayawada,Andhra Pradesh,8,10
180,0,9516861,67,0,single,rented,no,Engineer,Dehri[30],Bihar,0,13
181,0,4375780,66,3,single,owned,no,Secretary,Bidar,Karnataka,3,10
182,0,1867623,60,2,single,rented,yes,Chef,Ambattur,Tamil Nadu,2,13
183,0,6845511,78,14,single,rented,no,Fashion Designer,Saharanpur,Uttar Pradesh,4,12
184,0,408434,34,8,single,rented,yes,Chartered Accountant,Suryapet,Telangana,4,12
185,0,9879257,35,8,single,rented,yes,Technical writer,Jaipur,Rajasthan,4,10
186,0,2624615,66,4,single,rented,yes,Computer hardware engineer,Vijayawada,Andhra Pradesh,4,12
187,0,2307412,57,7,single,rented,no,Scientist,Aurangabad,Maharashtra,5,14
188,0,7627512,44,14,single,rented,no,Chemical engineer,Ulhasnagar,Maharashtra,5,13
189,0,2359728,66,14,single,rented,no,Industrial Engineer,Vijayawada,Andhra Pradesh,3,14
190,0,4210306,59,7,single,rented,no,Civil engineer,Bathinda,Punjab,7,11
191,0,6373227,68,19,single,rented,yes,Technology specialist,Bahraich,Uttar Pradesh,6,13
192,0,681276,48,19,single,rented,no,Designer,Singrauli,Madhya Pradesh,13,13
193,0,7302729,70,14,single,rented,no,Aviator,Bongaigaon,Assam,11,11
194,0,729340,57,13,single,rented,no,Lawyer,Dehradun,Uttarakhand,13,10
195,0,3767057,33,20,single,rented,no,Official,Udupi,Karnataka,6,11
196,0,4543268,32,17,single,rented,no,Flight attendant,Tenali,Andhra Pradesh,3,13
197,0,9221997,35,14,single,rented,yes,Microbiologist,Indore,Madhya Pradesh,9,13
198,0,8437491,22,2,single,rented,no,Industrial Engineer,Etawah,Uttar Pradesh,2,14
199,0,9544863,61,20,single,owned,no,Architect,Agartala,Tripura,14,14
200,0,4273001,62,14,single,norent_noown,yes,Politician,Darbhanga,Bihar,14,14
201,0,5604441,66,4,single,rented,yes,Civil engineer,Junagadh,Gujarat,4,11
202,0,3269849,43,9,single,rented,no,Aviator,Guna,Madhya Pradesh,9,14
203,0,7429005,69,2,married,rented,no,Computer hardware engineer,Gandhidham,Gujarat,2,13
204,0,3878753,36,0,single,rented,no,Civil engineer,Kota[6],Rajasthan,0,10
205,0,319857,78,20,single,rented,no,Dentist,Korba,Chhattisgarh,9,13
206,1,5695568,45,3,single,rented,no,Economist,Ratlam,Madhya Pradesh,3,11
207,0,5737594,26,11,single,rented,no,Lawyer,Gurgaon,Haryana,10,12
208,0,8749318,21,15,married,rented,yes,Petroleum Engineer,Giridih,Jharkhand,4,14
209,1,289113,40,5,single,rented,yes,Politician,Bilaspur,Chhattisgarh,5,12
210,0,3330944,52,7,single,norent_noown,no,Biomedical Engineer,Thanjavur,Tamil Nadu,7,10
211,0,408434,34,8,single,rented,yes,Chartered Accountant,Suryapet,Telangana,4,12
212,0,2699320,27,1,single,rented,no,Police officer,Mangalore,Karnataka,1,10
213,0,2150637,62,18,single,rented,yes,Lawyer,New Delhi,Delhi,10,10
214,1,9508412,36,0,single,rented,no,Comedian,Kadapa[23],Andhra Pradesh,0,10
215,0,5879597,46,17,single,rented,no,Graphic Designer,Bathinda,Punjab,9,11
216,0,9782912,63,7,single,rented,no,Software Developer,Kollam,Kerala,6,10
217,0,3602416,48,3,single,rented,no,Air traffic controller,Ratlam,Madhya Pradesh,3,13
218,0,7896776,26,12,single,rented,no,Mechanical engineer,Karimnagar,Telangana,9,14
219,0,1243869,22,17,single,rented,no,Technology specialist,Silchar,Assam,9,10
220,0,8295121,50,11,single,rented,no,Army officer,Korba,Chhattisgarh,5,11
221,0,3351044,32,3,single,rented,no,Flight attendant,Indore,Madhya Pradesh,3,11
222,0,3115746,21,12,single,rented,no,Mechanical engineer,Nizamabad,Telangana,3,14
223,0,7287661,58,4,single,rented,yes,Surveyor,Vellore,Tamil Nadu,4,14
224,0,8812899,79,17,single,rented,no,Psychologist,Pune,Maharashtra,9,11
225,0,2429683,43,20,single,rented,no,Financial Analyst,Siliguri,West Bengal,14,11
226,0,3884230,25,13,single,rented,no,Scientist,Nagercoil,Tamil Nadu,10,11
227,0,4668248,49,5,single,rented,yes,Computer hardware engineer,Durgapur,West Bengal,5,11
228,1,5764547,21,8,single,rented,no,Petroleum Engineer,Thrissur,Kerala,7,10
229,0,3013661,71,3,single,owned,no,Biomedical Engineer,Kirari Suleman Nagar,Delhi,3,14
230,0,4175765,79,3,single,rented,no,Physician,Mysore[7][8][9],Karnataka,3,13
231,0,1134496,77,3,single,rented,no,Surgeon,Jehanabad[38],Bihar,3,10
232,0,5604484,51,14,single,rented,no,Geologist,Sikar,Rajasthan,4,13
233,0,8415149,30,19,married,rented,no,Artist,Darbhanga,Bihar,3,10
234,1,7596972,23,4,single,norent_noown,yes,Analyst,Nizamabad,Telangana,4,12
235,1,5090840,78,12,single,rented,no,Flight attendant,Nagpur,Maharashtra,5,11
236,1,651491,61,6,single,rented,yes,Air traffic controller,Buxar[37],Bihar,4,12
237,0,6653271,49,11,single,rented,no,Civil engineer,Kochi,Kerala,11,10
238,0,1601803,40,1,single,rented,no,Civil engineer,Bettiah[33],Bihar,1,10
239,0,3539122,28,11,single,rented,no,Technician,Alappuzha,Kerala,4,13
240,0,2712710,70,8,single,rented,no,Psychologist,Khandwa,Madhya Pradesh,5,11
241,0,9142815,26,3,married,rented,yes,Technology specialist,Berhampore,West Bengal,3,12
242,0,2304556,51,12,single,rented,no,Police officer,Nashik,Maharashtra,8,10
243,0,5143268,53,4,single,rented,no,Official,Tenali,Andhra Pradesh,4,11
244,0,3468402,50,10,single,rented,no,Secretary,Hyderabad,Telangana,7,14
245,0,8631895,27,12,married,rented,no,Secretary,Giridih,Jharkhand,7,14
246,0,1273453,61,12,married,rented,no,Technical writer,Khammam,Telangana,3,11
247,0,8280263,28,16,single,rented,no,Flight attendant,Aizawl,Mizoram,14,11
248,0,4913009,65,20,single,rented,yes,Software Developer,Rajahmundry[19][20],Andhra Pradesh,4,12
249,0,3753824,28,7,single,rented,no,Microbiologist,Muzaffarnagar,Uttar Pradesh,7,11
250,0,181528,39,17,single,rented,no,Drafter,Hajipur[31],Bihar,3,12
251,0,4973814,24,19,single,rented,no,Computer operator,Amritsar,Punjab,6,12
252,0,1434051,67,18,single,rented,no,Psychologist,Kishanganj[35],Bihar,10,13
253,0,9165973,37,14,single,norent_noown,yes,Dentist,Arrah,Bihar,11,11
254,0,6083790,31,5,single,rented,no,Physician,Sagar,Madhya Pradesh,4,11
255,0,5865707,76,3,single,rented,no,Scientist,Jodhpur,Rajasthan,3,13
256,0,1088718,60,5,single,rented,yes,Surveyor,Tezpur,Assam,5,10
257,0,6864774,32,16,single,rented,no,Mechanical engineer,Begusarai,Bihar,9,13
258,0,1542970,28,14,single,owned,no,Drafter,Mira-Bhayandar,Maharashtra,5,12
259,0,1209322,41,10,single,rented,yes,Politician,Bidhannagar,West Bengal,10,13
260,0,7747070,28,16,single,rented,no,Aviator,Nellore[14][15],Andhra Pradesh,9,12
261,0,3432974,58,19,single,rented,no,Army officer,Saharsa[29],Bihar,12,14
262,0,1967194,58,9,single,rented,no,Air traffic controller,Rewa,Madhya Pradesh,9,11
263,0,267925,76,12,married,rented,no,Politician,Bally,West Bengal,6,12
264,0,8683788,21,16,single,rented,yes,Technical writer,Gopalpur,West Bengal,10,11
265,0,7797908,22,4,single,rented,yes,Official,Nagercoil,Tamil Nadu,4,14
266,0,1528267,58,6,single,rented,no,Financial Analyst,Raichur,Karnataka,3,11
267,0,1955543,22,6,married,rented,yes,Police officer,Kollam,Kerala,6,14
268,0,5951881,27,17,single,rented,no,Geologist,Sonipat,Haryana,3,14
269,0,4334000,36,4,single,rented,no,Politician,Berhampur,Odisha,4,11
270,1,8908371,25,16,single,rented,no,Chef,Guwahati,Assam,7,11
271,0,4342058,26,4,single,rented,yes,Technology specialist,Noida,Uttar Pradesh,4,10
272,0,2237433,65,19,single,rented,no,Consultant,Begusarai,Bihar,7,12
273,0,5975878,56,17,married,rented,no,Financial Analyst,Katihar,Bihar,6,11
274,0,4719877,74,15,single,rented,no,Civil servant,Secunderabad,Telangana,11,10
275,0,173096,40,13,single,rented,no,Politician,Ahmedabad,Gujarat,3,13
276,0,4145551,46,15,married,rented,no,Statistician,Aligarh,Uttar Pradesh,11,13
277,0,1494586,63,20,single,rented,yes,Financial Analyst,Nandyal,Andhra Pradesh,3,11
278,0,5074140,61,18,single,rented,no,Analyst,Rourkela,Odisha,14,12
279,0,2915439,62,0,married,rented,yes,Surveyor,Udaipur,Rajasthan,0,13
280,0,1883575,49,16,single,rented,yes,Technician,Jamnagar,Gujarat,14,12
281,0,5358407,22,3,single,rented,no,Software Developer,Hosur,Tamil Nadu,3,10
282,1,3438381,46,6,single,rented,no,Web designer,Khandwa,Madhya Pradesh,6,12
283,0,3231341,47,6,married,rented,no,Scientist,Kochi,Kerala,6,14
284,0,7648698,68,16,single,rented,yes,Psychologist,Jhansi,Uttar Pradesh,13,10
285,0,3632441,66,2,single,rented,yes,Statistician,Jabalpur,Madhya Pradesh,2,13
286,0,5695568,45,3,single,rented,no,Economist,Ratlam,Madhya Pradesh,3,11
287,0,5218820,76,14,single,owned,no,Civil servant,Karimnagar,Telangana,12,14
288,0,5783146,51,18,single,rented,no,Psychologist,Chittoor[28],Andhra Pradesh,7,12
289,0,7710303,41,12,single,rented,yes,Comedian,Motihari[34],Bihar,4,14
290,0,6802871,54,20,single,rented,yes,Industrial Engineer,Kadapa[23],Andhra Pradesh,7,13
291,0,2436593,54,19,single,rented,no,Firefighter,Jehanabad[38],Bihar,6,13
292,0,6650638,47,19,single,rented,yes,Technical writer,Anand,Gujarat,12,13
293,0,9177752,45,16,single,rented,no,Firefighter,Delhi_city,Delhi,10,13
294,1,3369187,59,3,single,rented,yes,Surgeon,Tirunelveli,Tamil Nadu,3,14
295,0,8007036,56,14,single,owned,no,Biomedical Engineer,Kirari Suleman Nagar,Delhi,4,13
296,1,7442529,57,6,single,rented,yes,Chef,Saharsa[29],Bihar,5,10
297,0,2319807,79,20,single,rented,no,Chemical engineer,Raichur,Karnataka,9,10
298,0,9006540,79,14,single,rented,no,Lawyer,Meerut,Uttar Pradesh,13,11
299,0,6414837,40,3,single,rented,no,Geologist,Thrissur,Kerala,3,14
300,0,8800769,29,4,single,rented,no,Microbiologist,Vasai-Virar,Maharashtra,4,12
301,0,7783136,44,13,single,rented,no,Physician,Miryalaguda,Telangana,9,12
302,0,3460548,36,13,single,rented,no,Web designer,Kumbakonam,Tamil Nadu,5,13
303,0,5764101,35,13,single,rented,no,Architect,Anand,Gujarat,13,11
304,0,1148139,27,9,single,rented,no,Statistician,Visakhapatnam[4],Andhra Pradesh,5,14
305,0,4940114,43,8,single,rented,no,Economist,Kulti,West Bengal,8,10
306,0,6357644,37,5,single,rented,no,Surgeon,Raebareli,Uttar Pradesh,5,12
307,0,2368485,27,10,single,norent_noown,no,Army officer,Kharagpur,West Bengal,7,12
308,0,2363227,66,18,single,rented,yes,Physician,Kolkata,West Bengal,4,11
309,0,5130335,54,4,single,rented,no,Computer operator,Nizamabad,Telangana,4,13
310,0,3376799,24,6,single,rented,no,Computer hardware engineer,Moradabad,Uttar Pradesh,6,13
311,0,4754357,25,0,single,rented,no,Lawyer,Pondicherry,Puducherry,0,12
312,0,7298077,35,2,single,rented,no,Flight attendant,Bhiwandi,Maharashtra,2,13
313,0,8936935,36,0,single,rented,no,Surveyor,Jorhat,Assam,0,14
314,0,2829317,46,13,single,rented,no,Physician,Parbhani,Maharashtra,7,11
315,0,9718890,56,13,single,norent_noown,no,Chef,Proddatur,Andhra Pradesh,8,14
316,0,8908371,25,16,single,rented,no,Chef,Guwahati,Assam,7,11
317,0,6101750,64,4,single,rented,yes,Psychologist,Bhubaneswar,Odisha,4,11
318,0,9635286,73,15,single,rented,yes,Psychologist,Anand,Gujarat,8,11
319,0,2082678,27,2,single,rented,no,Technology specialist,Guwahati,Assam,2,10
